Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     180     180
Longitude Latitude Br
  3.3335788713E+00 -1.5620696805E+00 -8.3973473340E+00
  3.3684854563E+00 -1.5620696805E+00 -8.3917948465E+00
  3.4033920414E+00 -1.5620696805E+00 -8.3863085631E+00
  3.4382986264E+00 -1.5620696805E+00 -8.3808962552E+00
  3.4732052115E+00 -1.5620696805E+00 -8.3755659927E+00
  3.5081117965E+00 -1.5620696805E+00 -8.3703246501E+00
  3.5430183815E+00 -1.5620696805E+00 -8.3651799985E+00
  3.5779249666E+00 -1.5620696805E+00 -8.3601387630E+00
  3.6128315516E+00 -1.5620696805E+00 -8.3552073698E+00
  3.6477381367E+00 -1.5620696805E+00 -8.3503928427E+00
  3.6826447217E+00 -1.5620696805E+00 -8.3457020563E+00
  3.7175513067E+00 -1.5620696805E+00 -8.3411409883E+00
  3.7524578918E+00 -1.5620696805E+00 -8.3367154671E+00
  3.7873644768E+00 -1.5620696805E+00 -8.3324311716E+00
  3.8222710619E+00 -1.5620696805E+00 -8.3282942292E+00
  3.8571776469E+00 -1.5620696805E+00 -8.3243095714E+00
  3.8920842319E+00 -1.5620696805E+00 -8.3204828772E+00
  3.9269908170E+00 -1.5620696805E+00 -8.3168177332E+00
  3.9618974020E+00 -1.5620696805E+00 -8.3133193702E+00
  3.9968039871E+00 -1.5620696805E+00 -8.3099921219E+00
  4.0317105721E+00 -1.5620696805E+00 -8.3068397245E+00
  4.0666171571E+00 -1.5620696805E+00 -8.3038663625E+00
  4.1015237422E+00 -1.5620696805E+00 -8.3010745764E+00
  4.1364303272E+00 -1.5620696805E+00 -8.2984675046E+00
  4.1713369123E+00 -1.5620696805E+00 -8.2960488832E+00
  4.2062434973E+00 -1.5620696805E+00 -8.2938209540E+00
  4.2411500823E+00 -1.5620696805E+00 -8.2917855101E+00
  4.2760566674E+00 -1.5620696805E+00 -8.2899440462E+00
  4.3109632524E+00 -1.5620696805E+00 -8.2882986543E+00
  4.3458698375E+00 -1.5620696805E+00 -8.2868508291E+00
  4.3807764225E+00 -1.5620696805E+00 -8.2856017660E+00
  4.4156830075E+00 -1.5620696805E+00 -8.2845516144E+00
  4.4505895926E+00 -1.5620696805E+00 -8.2837009723E+00
  4.4854961776E+00 -1.5620696805E+00 -8.2830501383E+00
  4.5204027627E+00 -1.5620696805E+00 -8.2825989632E+00
  4.5553093477E+00 -1.5620696805E+00 -8.2823466997E+00
  4.5902159327E+00 -1.5620696805E+00 -8.2822928994E+00
  4.6251225178E+00 -1.5620696805E+00 -8.2824374130E+00
  4.6600291028E+00 -1.5620696805E+00 -8.2827775503E+00
  4.6949356879E+00 -1.5620696805E+00 -8.2833127136E+00
  4.7298422729E+00 -1.5620696805E+00 -8.2838149990E+00
  4.7647488579E+00 -1.5620696805E+00 -8.2838332313E+00
  4.7996554430E+00 -1.5620696805E+00 -8.2840414085E+00
  4.8345620280E+00 -1.5620696805E+00 -8.2844384844E+00
  4.8694686131E+00 -1.5620696805E+00 -8.2850225163E+00
  4.9043751981E+00 -1.5620696805E+00 -8.2857921592E+00
  4.9392817831E+00 -1.5620696805E+00 -8.2867447230E+00
  4.9741883682E+00 -1.5620696805E+00 -8.2878781155E+00
  5.0090949532E+00 -1.5620696805E+00 -8.2891905434E+00
  5.0440015383E+00 -1.5620696805E+00 -8.2906784200E+00
  5.0789081233E+00 -1.5620696805E+00 -8.2923395035E+00
  5.1138147083E+00 -1.5620696805E+00 -8.2941708052E+00
  5.1487212934E+00 -1.5620696805E+00 -8.2961691866E+00
  5.1836278784E+00 -1.5620696805E+00 -8.2983310611E+00
  5.2185344635E+00 -1.5620696805E+00 -8.3006537387E+00
  5.2534410485E+00 -1.5620696805E+00 -8.3031333337E+00
  5.2883476335E+00 -1.5620696805E+00 -8.3057664090E+00
  5.3232542186E+00 -1.5620696805E+00 -8.3085484811E+00
  5.3581608036E+00 -1.5620696805E+00 -8.3114764118E+00
  5.3930673887E+00 -1.5620696805E+00 -8.3145461660E+00
  5.4279739737E+00 -1.5620696805E+00 -8.3177532603E+00
  5.4628805587E+00 -1.5620696805E+00 -8.3210939587E+00
  5.4977871438E+00 -1.5620696805E+00 -8.3245643755E+00
  5.5326937288E+00 -1.5620696805E+00 -8.3281591307E+00
  5.5676003139E+00 -1.5620696805E+00 -8.3318749365E+00
  5.6025068989E+00 -1.5620696805E+00 -8.3357068613E+00
  5.6374134839E+00 -1.5620696805E+00 -8.3396505711E+00
  5.6723200690E+00 -1.5620696805E+00 -8.3437017321E+00
  5.7072266540E+00 -1.5620696805E+00 -8.3478552629E+00
  5.7421332391E+00 -1.5620696805E+00 -8.3521068299E+00
  5.7770398241E+00 -1.5620696805E+00 -8.3564519496E+00
  5.8119464091E+00 -1.5620696805E+00 -8.3608849430E+00
  5.8468529942E+00 -1.5620696805E+00 -8.3654025224E+00
  5.8817595792E+00 -1.5620696805E+00 -8.3699990089E+00
  5.9166661643E+00 -1.5620696805E+00 -8.3746693214E+00
  5.9515727493E+00 -1.5620696805E+00 -8.3794092753E+00
  5.9864793343E+00 -1.5620696805E+00 -8.3842145368E+00
  6.0213859194E+00 -1.5620696805E+00 -8.3890780819E+00
  6.0562925044E+00 -1.5620696805E+00 -8.3939975195E+00
  6.0911990895E+00 -1.5620696805E+00 -8.3989661246E+00
  6.1261056745E+00 -1.5620696805E+00 -8.4039794138E+00
  6.1610122595E+00 -1.5620696805E+00 -8.4090330533E+00
  6.1959188446E+00 -1.5620696805E+00 -8.4141212145E+00
  6.2308254296E+00 -1.5620696805E+00 -8.4192388165E+00
  6.2657320147E+00 -1.5620696805E+00 -8.4243815253E+00
  1.7453292520E-02 -1.5446163880E+00 -8.2547591254E+00
  5.2359877560E-02 -1.5446163880E+00 -8.2644485392E+00
  8.7266462600E-02 -1.5446163880E+00 -8.2742819493E+00
  1.2217304764E-01 -1.5446163880E+00 -8.2842592084E+00
  1.5707963268E-01 -1.5446163880E+00 -8.2943781079E+00
  1.9198621772E-01 -1.5446163880E+00 -8.3046374700E+00
  2.2689280276E-01 -1.5446163880E+00 -8.3150342026E+00
  2.6179938780E-01 -1.5446163880E+00 -8.3255671281E+00
  2.9670597284E-01 -1.5446163880E+00 -8.3362315347E+00
  3.3161255788E-01 -1.5446163880E+00 -8.3470252140E+00
  3.6651914292E-01 -1.5446163880E+00 -8.3579428655E+00
  4.0142572796E-01 -1.5446163880E+00 -8.3689805138E+00
  4.3633231300E-01 -1.5446163880E+00 -8.3801325641E+00
  4.7123889804E-01 -1.5446163880E+00 -8.3913923906E+00
  5.0614548308E-01 -1.5446163880E+00 -8.4027533679E+00
  5.4105206812E-01 -1.5446163880E+00 -8.4142085758E+00
  5.7595865316E-01 -1.5446163880E+00 -8.4257490330E+00
  6.1086523820E-01 -1.5446163880E+00 -8.4373651692E+00
  6.4577182324E-01 -1.5446163880E+00 -8.4490484448E+00
  6.8067840828E-01 -1.5446163880E+00 -8.4607870808E+00
  7.1558499332E-01 -1.5446163880E+00 -8.4725695930E+00
  7.5049157836E-01 -1.5446163880E+00 -8.4833305861E+00
  7.8539816340E-01 -1.5446163880E+00 -8.4921689794E+00
  8.2030474844E-01 -1.5446163880E+00 -8.5011082289E+00
  8.5521133348E-01 -1.5446163880E+00 -8.5096994140E+00
  8.9011791852E-01 -1.5446163880E+00 -8.5167235728E+00
  9.2502450356E-01 -1.5446163880E+00 -8.5236482005E+00
  9.5993108860E-01 -1.5446163880E+00 -8.5305617855E+00
  9.9483767364E-01 -1.5446163880E+00 -8.5374540214E+00
  1.0297442587E+00 -1.5446163880E+00 -8.5443123932E+00
  1.0646508437E+00 -1.5446163880E+00 -8.5511242386E+00
  1.0995574288E+00 -1.5446163880E+00 -8.5578761592E+00
  1.1344640138E+00 -1.5446163880E+00 -8.5645544620E+00
  1.1693705988E+00 -1.5446163880E+00 -8.5711448654E+00
  1.2042771839E+00 -1.5446163880E+00 -8.5776323512E+00
  1.2391837689E+00 -1.5446163880E+00 -8.5840019015E+00
  1.2740903540E+00 -1.5446163880E+00 -8.5902383509E+00
  1.3089969390E+00 -1.5446163880E+00 -8.5963253565E+00
  1.3439035240E+00 -1.5446163880E+00 -8.6022467222E+00
  1.3788101091E+00 -1.5446163880E+00 -8.6079868412E+00
  1.4137166941E+00 -1.5446163880E+00 -8.6135289285E+00
  1.4486232792E+00 -1.5446163880E+00 -8.6188567884E+00
  1.4835298642E+00 -1.5446163880E+00 -8.6239540777E+00
  1.5184364492E+00 -1.5446163880E+00 -8.6288044532E+00
  1.5533430343E+00 -1.5446163880E+00 -8.6333917190E+00
  1.5882496193E+00 -1.5446163880E+00 -8.6369340553E+00
  1.6231562044E+00 -1.5446163880E+00 -8.6378919688E+00
  1.6580627894E+00 -1.5446163880E+00 -8.6385470190E+00
  1.6929693744E+00 -1.5446163880E+00 -8.6388878689E+00
  1.7278759595E+00 -1.5446163880E+00 -8.6389053899E+00
  1.7627825445E+00 -1.5446163880E+00 -8.6385900117E+00
  1.7976891296E+00 -1.5446163880E+00 -8.6379340781E+00
  1.8325957146E+00 -1.5446163880E+00 -8.6369294910E+00
  1.8675022996E+00 -1.5446163880E+00 -8.6355687415E+00
  1.9024088847E+00 -1.5446163880E+00 -8.6338456457E+00
  1.9373154697E+00 -1.5446163880E+00 -8.6317549032E+00
  1.9722220548E+00 -1.5446163880E+00 -8.6292909189E+00
  2.0071286398E+00 -1.5446163880E+00 -8.6264508954E+00
  2.0420352248E+00 -1.5446163880E+00 -8.6232317408E+00
  2.0769418099E+00 -1.5446163880E+00 -8.6196308049E+00
  2.1118483949E+00 -1.5446163880E+00 -8.6156473514E+00
  2.1467549800E+00 -1.5446163880E+00 -8.6112816748E+00
  2.1816615650E+00 -1.5446163880E+00 -8.6065349530E+00
  2.2165681500E+00 -1.5446163880E+00 -8.6014091001E+00
