Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     360     180
Longitude Latitude Br
  5.0000000000E-01 -8.5728435562E+01 -2.8409866560E+00
  1.5000000000E+00 -8.5728435562E+01 -2.8416415560E+00
  2.5000000000E+00 -8.5728435562E+01 -2.8422974560E+00
  3.5000000000E+00 -8.5728435562E+01 -2.8429544560E+00
  4.5000000000E+00 -8.5728435562E+01 -2.8436125560E+00
  5.5000000000E+00 -8.5728435562E+01 -2.8442710560E+00
  6.5000000000E+00 -8.5728435562E+01 -2.8449303560E+00
  7.5000000000E+00 -8.5728435562E+01 -2.8455900560E+00
  8.5000000000E+00 -8.5728435562E+01 -2.8462499560E+00
  9.5000000000E+00 -8.5728435562E+01 -2.8469099560E+00
  1.0500000000E+01 -8.5728435562E+01 -2.8475698560E+00
  1.1500000000E+01 -8.5728435562E+01 -2.8482294560E+00
  1.2500000000E+01 -8.5728435562E+01 -2.8488890560E+00
  1.3500000000E+01 -8.5728435562E+01 -2.8495480560E+00
  1.4500000000E+01 -8.5728435562E+01 -2.8502062560E+00
  1.5500000000E+01 -8.5728435562E+01 -2.8508638560E+00
  1.6500000000E+01 -8.5728435562E+01 -2.8515204560E+00
  1.7500000000E+01 -8.5728435562E+01 -2.8521758560E+00
  1.8500000000E+01 -8.5728435562E+01 -2.8528298560E+00
  1.9500000000E+01 -8.5728435562E+01 -2.8534826560E+00
  2.0500000000E+01 -8.5728435562E+01 -2.8541337560E+00
  2.1500000000E+01 -8.5728435562E+01 -2.8547832560E+00
  2.2500000000E+01 -8.5728435562E+01 -2.8554307560E+00
  2.3500000000E+01 -8.5728435562E+01 -2.8560761560E+00
  2.4500000000E+01 -8.5728435562E+01 -2.8567191560E+00
  2.5500000000E+01 -8.5728435562E+01 -2.8573600560E+00
  2.6500000000E+01 -8.5728435562E+01 -2.8579980560E+00
  2.7500000000E+01 -8.5728435562E+01 -2.8586336560E+00
  2.8500000000E+01 -8.5728435562E+01 -2.8592664560E+00
  2.9500000000E+01 -8.5728435562E+01 -2.8598958560E+00
  3.0500000000E+01 -8.5728435562E+01 -2.8605221560E+00
  3.1500000000E+01 -8.5728435562E+01 -2.8611451560E+00
  3.2500000000E+01 -8.5728435562E+01 -2.8617648560E+00
  3.3500000000E+01 -8.5728435562E+01 -2.8623804560E+00
  3.4500000000E+01 -8.5728435562E+01 -2.8629921560E+00
  3.5500000000E+01 -8.5728435562E+01 -2.8636001560E+00
  3.6500000000E+01 -8.5728435562E+01 -2.8642038560E+00
  3.7500000000E+01 -8.5728435562E+01 -2.8648029560E+00
  3.8500000000E+01 -8.5728435562E+01 -2.8653978560E+00
  3.9500000000E+01 -8.5728435562E+01 -2.8659879560E+00
  4.0500000000E+01 -8.5728435562E+01 -2.8665730560E+00
  4.1500000000E+01 -8.5728435562E+01 -2.8671533560E+00
  4.2500000000E+01 -8.5728435562E+01 -2.8677281560E+00
  4.3500000000E+01 -8.5728435562E+01 -2.8682974560E+00
  4.4500000000E+01 -8.5728435562E+01 -2.8688615560E+00
  4.5500000000E+01 -8.5728435562E+01 -2.8694199560E+00
  4.6500000000E+01 -8.5728435562E+01 -2.8699724560E+00
  4.7500000000E+01 -8.5728435562E+01 -2.8705185560E+00
  4.8500000000E+01 -8.5728435562E+01 -2.8710586560E+00
  4.9500000000E+01 -8.5728435562E+01 -2.8715924560E+00
  5.0500000000E+01 -8.5728435562E+01 -2.8721195560E+00
  5.1500000000E+01 -8.5728435562E+01 -2.8726398560E+00
  5.2500000000E+01 -8.5728435562E+01 -2.8731534560E+00
  5.3500000000E+01 -8.5728435562E+01 -2.8736597560E+00
  5.4500000000E+01 -8.5728435562E+01 -2.8741592560E+00
  5.5500000000E+01 -8.5728435562E+01 -2.8746508560E+00
  5.6500000000E+01 -8.5728435562E+01 -2.8751350560E+00
  5.7500000000E+01 -8.5728435562E+01 -2.8756116560E+00
  5.8500000000E+01 -8.5728435562E+01 -2.8760801560E+00
  5.9500000000E+01 -8.5728435562E+01 -2.8765408560E+00
  6.0500000000E+01 -8.5728435562E+01 -2.8769930560E+00
  6.1500000000E+01 -8.5728435562E+01 -2.8774370560E+00
  6.2500000000E+01 -8.5728435562E+01 -2.8778724560E+00
  6.3500000000E+01 -8.5728435562E+01 -2.8782989560E+00
  6.4500000000E+01 -8.5728435562E+01 -2.8787168560E+00
  6.5500000000E+01 -8.5728435562E+01 -2.8791254560E+00
  6.6500000000E+01 -8.5728435562E+01 -2.8795250560E+00
  6.7500000000E+01 -8.5728435562E+01 -2.8799154560E+00
  6.8500000000E+01 -8.5728435562E+01 -2.8802961560E+00
  6.9500000000E+01 -8.5728435562E+01 -2.8806674560E+00
  7.0500000000E+01 -8.5728435562E+01 -2.8810284560E+00
  7.1500000000E+01 -8.5728435562E+01 -2.8813797560E+00
  7.2500000000E+01 -8.5728435562E+01 -2.8817211560E+00
  7.3500000000E+01 -8.5728435562E+01 -2.8820520560E+00
  7.4500000000E+01 -8.5728435562E+01 -2.8823730560E+00
  7.5500000000E+01 -8.5728435562E+01 -2.8826829560E+00
  7.6500000000E+01 -8.5728435562E+01 -2.8829826560E+00
  7.7500000000E+01 -8.5728435562E+01 -2.8832714560E+00
  7.8500000000E+01 -8.5728435562E+01 -2.8835491560E+00
  7.9500000000E+01 -8.5728435562E+01 -2.8838156560E+00
  8.0500000000E+01 -8.5728435562E+01 -2.8840712560E+00
  8.1500000000E+01 -8.5728435562E+01 -2.8843156560E+00
  8.2500000000E+01 -8.5728435562E+01 -2.8845484560E+00
  8.3500000000E+01 -8.5728435562E+01 -2.8847695560E+00
  8.4500000000E+01 -8.5728435562E+01 -2.8849794560E+00
  8.5500000000E+01 -8.5728435562E+01 -2.8851770560E+00
  8.6500000000E+01 -8.5728435562E+01 -2.8853630560E+00
  8.7500000000E+01 -8.5728435562E+01 -2.8855370560E+00
  8.8500000000E+01 -8.5728435562E+01 -2.8856989560E+00
  8.9500000000E+01 -8.5728435562E+01 -2.8858484560E+00
  9.0500000000E+01 -8.5728435562E+01 -2.8859854560E+00
  9.1500000000E+01 -8.5728435562E+01 -2.8859478560E+00
  9.2500000000E+01 -8.5728435562E+01 -2.8858977560E+00
  9.3500000000E+01 -8.5728435562E+01 -2.8858350560E+00
  9.4500000000E+01 -8.5728435562E+01 -2.8857602560E+00
  9.5500000000E+01 -8.5728435562E+01 -2.8856724560E+00
  9.6500000000E+01 -8.5728435562E+01 -2.8855725560E+00
  9.7500000000E+01 -8.5728435562E+01 -2.8854598560E+00
  9.8500000000E+01 -8.5728435562E+01 -2.8853348560E+00
  9.9500000000E+01 -8.5728435562E+01 -2.8851970560E+00
  1.0050000000E+02 -8.5728435562E+01 -2.8850468560E+00
  1.0150000000E+02 -8.5728435562E+01 -2.8848840560E+00
  1.0250000000E+02 -8.5728435562E+01 -2.8847087560E+00
  1.0350000000E+02 -8.5728435562E+01 -2.8845209560E+00
  1.0450000000E+02 -8.5728435562E+01 -2.8843206560E+00
  1.0550000000E+02 -8.5728435562E+01 -2.8841077560E+00
  1.0650000000E+02 -8.5728435562E+01 -2.8838824560E+00
  1.0750000000E+02 -8.5728435562E+01 -2.8836447560E+00
  1.0850000000E+02 -8.5728435562E+01 -2.8833944560E+00
  1.0950000000E+02 -8.5728435562E+01 -2.8831318560E+00
  1.1050000000E+02 -8.5728435562E+01 -2.8828572560E+00
  1.1150000000E+02 -8.5728435562E+01 -2.8825699560E+00
  1.1250000000E+02 -8.5728435562E+01 -2.8822707560E+00
  1.1350000000E+02 -8.5728435562E+01 -2.8819591560E+00
  1.1450000000E+02 -8.5728435562E+01 -2.8816355560E+00
  1.1550000000E+02 -8.5728435562E+01 -2.8812998560E+00
  1.1650000000E+02 -8.5728435562E+01 -2.8809524560E+00
  1.1750000000E+02 -8.5728435562E+01 -2.8805929560E+00
  1.1850000000E+02 -8.5728435562E+01 -2.8802214560E+00
