MagnetogramType = NSO-GONG Hourly; InstrumentName = GONG; InputLatGrid = sin(lat); OutputLatGrid = sin(lat); MagUnit = Gauss; InputMapResolution = 360,180; MagnetogramDate = 2021-01-17T13:14:00; CentralMeridianLong = 2239.494444; InputFile = "202101171314.fits;ASCIIFileCreationDate = 2022-11-17T15:04:06
       0      0.00000       2       2       1 
      360     180
2  2239.826625 
Longitude Latitude Br LongitudeShift CarringtonRotation 
0.5 -85.72843556204816 -2.7899542 
1.5 -85.72843556204816 -2.7906091 
2.5 -85.72843556204816 -2.791265 
3.5 -85.72843556204816 -2.791922 
4.5 -85.72843556204816 -2.7925801 
5.5 -85.72843556204816 -2.7932386 
6.5 -85.72843556204816 -2.7938979 
7.5 -85.72843556204816 -2.7945576 
8.5 -85.72843556204816 -2.7952175 
9.5 -85.72843556204816 -2.7958775 
10.5 -85.72843556204816 -2.7965374 
11.5 -85.72843556204816 -2.797197 
12.5 -85.72843556204816 -2.7978566 
13.5 -85.72843556204816 -2.7985156 
14.5 -85.72843556204816 -2.7991738 
15.5 -85.72843556204816 -2.7998314 
16.5 -85.72843556204816 -2.800488 
17.5 -85.72843556204816 -2.8011434 
18.5 -85.72843556204816 -2.8017974 
19.5 -85.72843556204816 -2.8024502 
20.5 -85.72843556204816 -2.8031013 
21.5 -85.72843556204816 -2.8037508 
22.5 -85.72843556204816 -2.8043983 
23.5 -85.72843556204816 -2.8050437 
24.5 -85.72843556204816 -2.8056867 
25.5 -85.72843556204816 -2.8063276 
26.5 -85.72843556204816 -2.8069656 
27.5 -85.72843556204816 -2.8076012 
28.5 -85.72843556204816 -2.808234 
29.5 -85.72843556204816 -2.8088634 
30.5 -85.72843556204816 -2.8094897 
31.5 -85.72843556204816 -2.8101127 
32.5 -85.72843556204816 -2.8107324 
33.5 -85.72843556204816 -2.811348 
34.5 -85.72843556204816 -2.8119597 
35.5 -85.72843556204816 -2.8125677 
36.5 -85.72843556204816 -2.8131714 
37.5 -85.72843556204816 -2.8137705 
38.5 -85.72843556204816 -2.8143654 
39.5 -85.72843556204816 -2.8149555 
40.5 -85.72843556204816 -2.8155406 
41.5 -85.72843556204816 -2.8161209 
42.5 -85.72843556204816 -2.8166957 
43.5 -85.72843556204816 -2.817265 
44.5 -85.72843556204816 -2.8178291 
45.5 -85.72843556204816 -2.8183875 
46.5 -85.72843556204816 -2.81894 
47.5 -85.72843556204816 -2.8194861 
48.5 -85.72843556204816 -2.8200262 
49.5 -85.72843556204816 -2.82056 
50.5 -85.72843556204816 -2.8210871 
51.5 -85.72843556204816 -2.8216074 
52.5 -85.72843556204816 -2.822121 
53.5 -85.72843556204816 -2.8226273 
54.5 -85.72843556204816 -2.8231268 
55.5 -85.72843556204816 -2.8236184 
56.5 -85.72843556204816 -2.8241026 
57.5 -85.72843556204816 -2.8245792 
58.5 -85.72843556204816 -2.8250477 
59.5 -85.72843556204816 -2.8255084 
60.5 -85.72843556204816 -2.8259606 
61.5 -85.72843556204816 -2.8264046 
62.5 -85.72843556204816 -2.82684 
63.5 -85.72843556204816 -2.8272665 
64.5 -85.72843556204816 -2.8276844 
65.5 -85.72843556204816 -2.828093 
66.5 -85.72843556204816 -2.8284926 
67.5 -85.72843556204816 -2.828883 
68.5 -85.72843556204816 -2.8292637 
69.5 -85.72843556204816 -2.829635 
70.5 -85.72843556204816 -2.829996 
71.5 -85.72843556204816 -2.8303473 
72.5 -85.72843556204816 -2.8306887 
73.5 -85.72843556204816 -2.8310196 
74.5 -85.72843556204816 -2.8313406 
75.5 -85.72843556204816 -2.8316505 
76.5 -85.72843556204816 -2.8319502 
77.5 -85.72843556204816 -2.832239 
78.5 -85.72843556204816 -2.8325167 
79.5 -85.72843556204816 -2.8327832 
80.5 -85.72843556204816 -2.8330388 
81.5 -85.72843556204816 -2.8332832 
82.5 -85.72843556204816 -2.833516 
83.5 -85.72843556204816 -2.8337371 
84.5 -85.72843556204816 -2.833947 
85.5 -85.72843556204816 -2.8341446 
86.5 -85.72843556204816 -2.8343306 
87.5 -85.72843556204816 -2.8345046 
88.5 -85.72843556204816 -2.8346665 
89.5 -85.72843556204816 -2.834816 
90.5 -85.72843556204816 -2.834953 
91.5 -85.72843556204816 -2.8349154 
92.5 -85.72843556204816 -2.8348653 
93.5 -85.72843556204816 -2.8348026 
94.5 -85.72843556204816 -2.8347278 
