Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
      20      20
Longitude Latitude Br
  1.5707963268E-01 -1.4922565105E+00 -8.4395798801E+00
  4.7123889804E-01 -1.4922565105E+00 -8.6757038878E+00
  7.8539816340E-01 -1.4922565105E+00 -8.5858832033E+00
  1.0995574288E+00 -1.4922565105E+00 -9.5662857342E+00
  1.4137166941E+00 -1.4922565105E+00 -9.1953417797E+00
  1.7278759595E+00 -1.4922565105E+00 -8.1201387362E+00
  2.0420352248E+00 -1.4922565105E+00 -8.7612543821E+00
  2.3561944902E+00 -1.4922565105E+00 -8.0517946769E+00
  2.6703537556E+00 -1.4922565105E+00 -7.8000271891E+00
  2.9845130209E+00 -1.4922565105E+00 -7.6444579819E+00
  3.2986722863E+00 -1.4922565105E+00 -8.0297596533E+00
  3.6128315516E+00 -1.4922565105E+00 -7.0971404295E+00
  3.9269908170E+00 -1.4922565105E+00 -6.0820990775E+00
  4.2411500823E+00 -1.4922565105E+00 -6.9020862037E+00
  4.5553093477E+00 -1.4922565105E+00 -6.4447205912E+00
  4.8694686131E+00 -1.4922565105E+00 -6.0675607727E+00
  5.1836278784E+00 -1.4922565105E+00 -6.7003161955E+00
  5.4977871438E+00 -1.4922565105E+00 -6.9309399039E+00
  5.8119464091E+00 -1.4922565105E+00 -7.3691353735E+00
  6.1261056745E+00 -1.4922565105E+00 -6.8452905964E+00
  1.5707963268E-01 -1.3351768778E+00 -3.1906793182E+00
  4.7123889804E-01 -1.3351768778E+00 -5.3691124738E+00
  7.8539816340E-01 -1.3351768778E+00 -3.1326764270E+00
  1.0995574288E+00 -1.3351768778E+00 -4.2671645559E+00
  1.4137166941E+00 -1.3351768778E+00 -2.5808684536E+00
  1.7278759595E+00 -1.3351768778E+00 -3.0107023574E+00
  2.0420352248E+00 -1.3351768778E+00 -4.9995897903E+00
  2.3561944902E+00 -1.3351768778E+00 -5.6951762893E+00
  2.6703537556E+00 -1.3351768778E+00 -2.2009428047E+00
  2.9845130209E+00 -1.3351768778E+00 -2.6493273216E+00
  3.2986722863E+00 -1.3351768778E+00 -4.0754915381E+00
  3.6128315516E+00 -1.3351768778E+00 -3.6914420874E+00
  3.9269908170E+00 -1.3351768778E+00 -3.9093130934E+00
  4.2411500823E+00 -1.3351768778E+00 -1.4472756130E+00
  4.5553093477E+00 -1.3351768778E+00 -2.2852445381E+00
  4.8694686131E+00 -1.3351768778E+00 -1.0708134826E+00
  5.1836278784E+00 -1.3351768778E+00 -2.9224220732E+00
  5.4977871438E+00 -1.3351768778E+00 -3.2668439095E+00
  5.8119464091E+00 -1.3351768778E+00 -1.8523512500E+00
  6.1261056745E+00 -1.3351768778E+00 -2.4310956494E-01
  1.5707963268E-01 -1.1780972451E+00 -8.7615115891E-01
  4.7123889804E-01 -1.1780972451E+00 -8.4145372288E-01
  7.8539816340E-01 -1.1780972451E+00 -3.2820615559E-01
  1.0995574288E+00 -1.1780972451E+00 -1.8283841989E+00
  1.4137166941E+00 -1.1780972451E+00 -1.6719213942E+00
  1.7278759595E+00 -1.1780972451E+00 -3.3619376022E+00
  2.0420352248E+00 -1.1780972451E+00 -7.6732303122E-01
  2.3561944902E+00 -1.1780972451E+00 -1.2867918385E+00
  2.6703537556E+00 -1.1780972451E+00 -1.4847621340E-01
  2.9845130209E+00 -1.1780972451E+00 -6.9170877030E-01
  3.2986722863E+00 -1.1780972451E+00  2.9590398429E-01
  3.6128315516E+00 -1.1780972451E+00 -3.6953651397E-01
  3.9269908170E+00 -1.1780972451E+00  9.3847007047E-02
  4.2411500823E+00 -1.1780972451E+00  3.4695138847E-02
  4.5553093477E+00 -1.1780972451E+00  3.8962353188E-02
  4.8694686131E+00 -1.1780972451E+00 -4.1288025468E-01
  5.1836278784E+00 -1.1780972451E+00  6.7884995390E-01
  5.4977871438E+00 -1.1780972451E+00  1.7026980192E-01
  5.8119464091E+00 -1.1780972451E+00 -7.9133094465E-01
  6.1261056745E+00 -1.1780972451E+00  3.7796364858E-01
  1.5707963268E-01 -1.0210176124E+00  1.8136882998E+00
  4.7123889804E-01 -1.0210176124E+00  1.2863386108E+00
  7.8539816340E-01 -1.0210176124E+00 -4.6065157448E-02
  1.0995574288E+00 -1.0210176124E+00 -3.4040426379E-01
  1.4137166941E+00 -1.0210176124E+00 -2.2359220216E+00
  1.7278759595E+00 -1.0210176124E+00 -4.4690007789E+00
  2.0420352248E+00 -1.0210176124E+00 -2.6460786121E+00
  2.3561944902E+00 -1.0210176124E+00 -7.6813471512E-01
  2.6703537556E+00 -1.0210176124E+00  7.7372203953E-01
  2.9845130209E+00 -1.0210176124E+00  6.1724999759E-01
  3.2986722863E+00 -1.0210176124E+00 -1.8487839064E-01
  3.6128315516E+00 -1.0210176124E+00  2.8684623093E+00
  3.9269908170E+00 -1.0210176124E+00  7.0868386153E-01
  4.2411500823E+00 -1.0210176124E+00 -1.8653131404E+00
  4.5553093477E+00 -1.0210176124E+00  1.8340665301E+00
  4.8694686131E+00 -1.0210176124E+00 -6.7684161732E-01
  5.1836278784E+00 -1.0210176124E+00 -1.6634262013E+00
  5.4977871438E+00 -1.0210176124E+00  1.3421161754E+00
  5.8119464091E+00 -1.0210176124E+00  9.1083346539E-01
  6.1261056745E+00 -1.0210176124E+00 -7.5440813358E-01
  1.5707963268E-01 -8.6393797974E-01  1.0667639517E+00
  4.7123889804E-01 -8.6393797974E-01  2.3189073708E+00
  7.8539816340E-01 -8.6393797974E-01  2.1067144430E+00
  1.0995574288E+00 -8.6393797974E-01  2.9087679268E+00
  1.4137166941E+00 -8.6393797974E-01 -6.2643622479E-01
  1.7278759595E+00 -8.6393797974E-01 -2.8689254839E+00
  2.0420352248E+00 -8.6393797974E-01  2.7090161765E-01
  2.3561944902E+00 -8.6393797974E-01  3.5707790682E+00
  2.6703537556E+00 -8.6393797974E-01 -1.0507898824E+00
  2.9845130209E+00 -8.6393797974E-01 -4.3258176510E-02
  3.2986722863E+00 -8.6393797974E-01 -7.3628931057E-01
  3.6128315516E+00 -8.6393797974E-01  2.2567219574E+00
  3.9269908170E+00 -8.6393797974E-01  1.0437061363E+01
  4.2411500823E+00 -8.6393797974E-01 -3.3877599138E+00
  4.5553093477E+00 -8.6393797974E-01  1.6677804153E+00
  4.8694686131E+00 -8.6393797974E-01  1.5377442367E-01
  5.1836278784E+00 -8.6393797974E-01 -2.7153614675E+00
  5.4977871438E+00 -8.6393797974E-01  8.0540291173E+00
  5.8119464091E+00 -8.6393797974E-01  1.5891890918E+01
  6.1261056745E+00 -8.6393797974E-01 -1.6861283814E+00
  1.5707963268E-01 -7.0685834706E-01 -4.1365177531E+00
  4.7123889804E-01 -7.0685834706E-01  7.9377296816E-02
  7.8539816340E-01 -7.0685834706E-01  3.2160031794E+00
  1.0995574288E+00 -7.0685834706E-01  3.3033011302E+00
  1.4137166941E+00 -7.0685834706E-01  2.1214209902E+00
  1.7278759595E+00 -7.0685834706E-01 -1.2175378282E+01
  2.0420352248E+00 -7.0685834706E-01  1.5376362918E-01
  2.3561944902E+00 -7.0685834706E-01  3.3302655744E+00
  2.6703537556E+00 -7.0685834706E-01 -4.4683766494E-01
  2.9845130209E+00 -7.0685834706E-01 -9.3327533841E-01
  3.2986722863E+00 -7.0685834706E-01  9.2495913363E-01
  3.6128315516E+00 -7.0685834706E-01  1.2233565348E+00
  3.9269908170E+00 -7.0685834706E-01  1.3764060079E+01
  4.2411500823E+00 -7.0685834706E-01 -2.8367711160E+00
  4.5553093477E+00 -7.0685834706E-01 -5.6856346862E+00
  4.8694686131E+00 -7.0685834706E-01  4.8550217385E+00
  5.1836278784E+00 -7.0685834706E-01 -5.7884271727E+00
  5.4977871438E+00 -7.0685834706E-01  7.3204424606E+00
  5.8119464091E+00 -7.0685834706E-01  1.7870420385E+01
  6.1261056745E+00 -7.0685834706E-01 -1.7135694471E+01
  1.5707963268E-01 -5.4977871438E-01 -4.1109200064E+00
  4.7123889804E-01 -5.4977871438E-01  9.6277434071E-01
  7.8539816340E-01 -5.4977871438E-01  2.0281207040E+00
  1.0995574288E+00 -5.4977871438E-01  2.1633700655E+00
  1.4137166941E+00 -5.4977871438E-01  2.5614290499E+00
  1.7278759595E+00 -5.4977871438E-01 -3.7406154642E+00
  2.0420352248E+00 -5.4977871438E-01 -5.9848484535E-01
  2.3561944902E+00 -5.4977871438E-01  5.1579639906E-01
  2.6703537556E+00 -5.4977871438E-01  1.9346859510E+00
  2.9845130209E+00 -5.4977871438E-01 -9.0329492712E-01
  3.2986722863E+00 -5.4977871438E-01 -8.8635411727E-01
  3.6128315516E+00 -5.4977871438E-01  5.0397582050E+00
  3.9269908170E+00 -5.4977871438E-01 -4.4242071926E+00
  4.2411500823E+00 -5.4977871438E-01  2.1962682458E+00
  4.5553093477E+00 -5.4977871438E-01 -1.3342705434E+01
  4.8694686131E+00 -5.4977871438E-01 -1.0430833480E-01
  5.1836278784E+00 -5.4977871438E-01 -1.3574198487E+00
  5.4977871438E+00 -5.4977871438E-01  7.3585768030E+00
  5.8119464091E+00 -5.4977871438E-01  1.5783410123E+01
  6.1261056745E+00 -5.4977871438E-01 -1.1281500456E+01
  1.5707963268E-01 -3.9269908170E-01 -1.5284488234E+00
  4.7123889804E-01 -3.9269908170E-01  6.9543991939E-01
  7.8539816340E-01 -3.9269908170E-01 -3.2660010824E-01
  1.0995574288E+00 -3.9269908170E-01 -2.1100685603E-02
